c;market;v;sector;group;industry
1&1 AG;XETR;1U1;Communication Services;Telecommunication Services;Telecom Services
11 88 0 Solutions AG;XETR;TGT;Communication Services;Telecommunication Services;Telecom Services
2G Energy AG;XETR;2GB;Industrials;Industrial Products;Specialty Industrial Machinery
2invest AG;XETR;2INV;Financial Services;Asset Management;Asset Management
3D Systems Corp;XETR;SYV;Technology;Hardware;Computer Hardware
3M Co;XETR;MMM;Industrials;Conglomerates;Conglomerates
3U Holding AG;XETR;UUU;Industrials;Construction;Building Products & Equipment
468 SPAC II SE;XETR;SPV2;Financial Services;Diversified Financial Services;Shell Companies
4basebio PLC;XETR;88Q;Healthcare;Biotechnology;Biotechnology
4SC AG;XETR;VSC;Healthcare;Biotechnology;Biotechnology
7C Solarparken AG;XETR;HRPK;Technology;Semiconductors;Solar
aap Implantate AG;XETR;AAQ1;Healthcare;Medical Devices & Instruments;Medical Devices
Aareal Bank AG;XETR;ARL;Financial Services;Banks;Banks - Regional
Abbott Laboratories;XETR;ABL;Healthcare;Medical Devices & Instruments;Medical Devices
AbbVie Inc;XETR;4AB;Healthcare;Drug Manufacturers;Drug Manufacturers - General
ABO Wind AG;XETR;AB9;Industrials;Construction;Engineering & Construction
ABOUT YOU Holding SE;XETR;YOU;Consumer Cyclical;Retail - Cyclical;Internet Retail
Accent Group Ltd;XETR;RJD;Consumer Cyclical;Retail - Cyclical;Apparel Retail
Accentro Real Estate AG;XETR;A4Y;Real Estate;Real Estate;Real Estate Services
Activision Blizzard Inc;XETR;AIY;Communication Services;Interactive Media;Electronic Gaming & Multimedia
ad pepper media International NV;XETR;APM;Communication Services;Media - Diversified;Advertising Agencies
Adesso SE;XETR;ADN1;Technology;Software;Information Technology Services
adidas AG;XETR;ADS;Consumer Cyclical;Manufacturing - Apparel & Accessories;Footwear & Accessories
Adler Group SA;XETR;ADJ;Real Estate;Real Estate;Real Estate Services
Adler Real Estate AG;XETR;ADL;Real Estate;Real Estate;Real Estate Services
Adobe Inc;XETR;ADB;Technology;Software;Software - Infrastructure
Adtran Inc;XETR;QH9;Technology;Hardware;Communication Equipment
ADVA Optical Networking SE;XETR;ADV;Technology;Hardware;Communication Equipment
Advanced Blockchain AG;XETR;BWQ;Technology;Software;Software - Application
Advanced Micro Devices Inc;XETR;AMD;Technology;Semiconductors;Semiconductors
Aifinyo AG;XETR;EBE;Financial Services;Credit Services;Credit Services
Air Products & Chemicals Inc;XETR;AP3;Basic Materials;Chemicals;Specialty Chemicals
Airbnb Inc;XETR;6Z1;Consumer Cyclical;Travel & Leisure;Travel Services
Aixtron SE;XETR;AIXA;Technology;Semiconductors;Semiconductor Equipment & Materials
Albemarle Corp;XETR;AMC;Basic Materials;Chemicals;Specialty Chemicals
Alcoa Corp;XETR;185;Basic Materials;Metals & Mining;Aluminum
Alibaba Group Holding Ltd;XETR;AHLA;Consumer Cyclical;Retail - Cyclical;Internet Retail
Align Technology Inc;XETR;AFW;Healthcare;Medical Devices & Instruments;Medical Devices
All for One Group SE;XETR;A1OS;Technology;Software;Information Technology Services
Allgeier SE;XETR;AEIN;Technology;Software;Information Technology Services
Allianz SE;XETR;ALV;Financial Services;Insurance;Insurance - Diversified
Ally Financial Inc;XETR;GMZ;Financial Services;Credit Services;Credit Services
Alphabet Inc;XETR;ABEA;Communication Services;Interactive Media;Internet Content & Information
alstria office REIT-AG;XETR;AOX;Real Estate;REITs;REIT - Office
Alteryx Inc;XETR;3AI;Technology;Software;Software - Application
Altria Group Inc;XETR;PHM7;Consumer Defensive;Tobacco Products;Tobacco
AlzChem Group AG;XETR;ACT;Basic Materials;Chemicals;Specialty Chemicals
Amadeus Fire AG;XETR;AAD;Industrials;Business Services;Staffing & Employment Services
Amazon.com Inc;XETR;AMZ;Consumer Cyclical;Retail - Cyclical;Internet Retail
American Airlines Group Inc;XETR;A1G;Industrials;Transportation;Airlines
American Express Co;XETR;AEC1;Financial Services;Credit Services;Credit Services
American Water Works Co Inc;XETR;AWC;Utilities;Utilities - Regulated;Utilities - Regulated Water
Amgen Inc;XETR;AMG;Healthcare;Drug Manufacturers;Drug Manufacturers - General
Anglo American PLC;XETR;NGLB;Basic Materials;Metals & Mining;Other Industrial Metals & Mining
APA Corp;XETR;2S3;Energy;Oil & Gas;Oil & Gas E&P
Apontis Pharma AG;XETR;APPH;Healthcare;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
Apple Inc;XETR;APC;Technology;Hardware;Consumer Electronics
Applied Materials Inc;XETR;AP2;Technology;Semiconductors;Semiconductor Equipment & Materials
Archer-Daniels Midland Co;XETR;ADM;Consumer Defensive;Consumer Packaged Goods;Farm Products
Aroundtown SA;XETR;AT1;Real Estate;Real Estate;Real Estate Services
artec technologies AG;XETR;A6T;Technology;Hardware;Consumer Electronics
AS Creation Tapeten AG;XETR;ACWN;Consumer Cyclical;Furnishings, Fixtures & Appliances;Furnishings, Fixtures & Appliances
Asknet Solutions AG;XETR;ASKN;Technology;Software;Information Technology Services
AT&T Inc;XETR;SOBA;Communication Services;Telecommunication Services;Telecom Services
ATOSS Software AG;XETR;AOF;Technology;Software;Software - Application
Audi AG;XETR;NSU;Consumer Cyclical;Vehicles & Parts;Auto Manufacturers
audius SE;XETR;3IT;Technology;Software;Information Technology Services
Aumann AG;XETR;AAG;Industrials;Industrial Products;Specialty Industrial Machinery
Aurelius Equity Opportunities Se & Co KGaA;XETR;AR4;Financial Services;Asset Management;Asset Management
Aurubis AG;XETR;NDA;Industrials;Industrial Products;Metal Fabrication
AUTO1 Group;XETR;AG1;Consumer Cyclical;Vehicles & Parts;Auto & Truck Dealerships
Aves One AG;XETR;AVES;Industrials;Business Services;Rental & Leasing Services
B+S Banksysteme AG;XETR;DTD2;Technology;Software;Software - Application
Baader Bank AG.;XETR;BWB;Financial Services;Capital Markets;Capital Markets
BAE Systems PLC;XETR;BSP;Industrials;Aerospace & Defense;Aerospace & Defense
Baker Hughes Co;XETR;68V;Energy;Oil & Gas;Oil & Gas Equipment & Services
Ballard Power Systems Inc;XETR;PO0;Industrials;Industrial Products;Specialty Industrial Machinery
Bank of America Corp;XETR;NCB;Financial Services;Banks;Banks - Diversified
Bank of Ireland Group PLC;XETR;BIRG;Financial Services;Banks;Banks - Regional
Barclays PLC;XETR;BCY;Financial Services;Banks;Banks - Diversified
Barrick Gold Corp;XETR;ABR;Basic Materials;Metals & Mining;Gold
Basf SE;XETR;BAS;Basic Materials;Chemicals;Chemicals
Basler AG;XETR;BSL;Technology;Hardware;Consumer Electronics
Bastei Luebbe AG;XETR;BST;Communication Services;Media - Diversified;Publishing
Bauer AG;XETR;B5A;Industrials;Construction;Engineering & Construction
BAVARIA Industries Group AG;XETR;B8A;Financial Services;Asset Management;Asset Management
Bayer AG;XETR;BAYN;Healthcare;Drug Manufacturers;Drug Manufacturers - General
Bayerische Motoren Werke AG;XETR;BMW;Consumer Cyclical;Vehicles & Parts;Auto Manufacturers
BayWa AG;XETR;BYW6;Industrials;Conglomerates;Conglomerates
Bechtle AG;XETR;BC8;Technology;Software;Information Technology Services
Bed Bath & Beyond Inc;XETR;BBY;Consumer Cyclical;Retail - Cyclical;Specialty Retail
Befesa SA;XETR;BFSA;Industrials;Waste Management;Waste Management
Beiersdorf AG;XETR;BEI;Consumer Defensive;Consumer Packaged Goods;Household & Personal Products
Berentzen-Gruppe AG;XETR;BEZ;Consumer Defensive;Beverages - Alcoholic;Beverages - Wineries & Distilleries
Berkshire Hathaway Inc;XETR;BRYN;Financial Services;Insurance;Insurance - Diversified
Bertrandt AG;XETR;BDT;Consumer Cyclical;Vehicles & Parts;Auto Parts
bet-at-home.com AG;XETR;ACX;Consumer Cyclical;Travel & Leisure;Gambling
Beyond Meat Inc;XETR;0Q3;Consumer Defensive;Consumer Packaged Goods;Packaged Foods
Bijou Brigitte Modische Accessoires AG;XETR;BIJ;Consumer Cyclical;Retail - Cyclical;Luxury Goods
Bike24 Holding AG;XETR;BIKE;Consumer Cyclical;Retail - Cyclical;Internet Retail
Bilfinger SE;XETR;GBF;Industrials;Construction;Engineering & Construction
Bio-Gate AG;XETR;BIG1;Healthcare;Medical Devices & Instruments;Medical Instruments & Supplies
Biofrontera AG;XETR;B8F;Healthcare;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
Biogen Inc;XETR;IDP;Healthcare;Drug Manufacturers;Drug Manufacturers - General
BioNTech SE;XETR;22UA;Healthcare;Biotechnology;Biotechnology
Biotest AG;XETR;BIO3;Healthcare;Biotechnology;Biotechnology
bioXXmed AG;XETR;T5O;Healthcare;Biotechnology;Biotechnology
Bitcoin Group SE;XETR;ADE;Financial Services;Asset Management;Asset Management
Black Pearl Digital AG;XETR;VRL;Technology;Software;Software - Application
BlackRock Inc;XETR;BLQA;Financial Services;Asset Management;Asset Management
Block Inc;XETR;SQ3;Technology;Software;Software - Infrastructure
Bloom Energy Corp;XETR;1ZB;Industrials;Industrial Products;Electrical Equipment & Parts
Blue Cap AG;XETR;B7E;Financial Services;Asset Management;Asset Management
Booking Holdings Inc;XETR;PCE1;Consumer Cyclical;Travel & Leisure;Travel Services
BorgWarner Inc;XETR;BGW;Consumer Cyclical;Vehicles & Parts;Auto Parts
Borussia Dortmund GmbH & Co KGaA;XETR;BVB;Communication Services;Media - Diversified;Entertainment
BP PLC;XETR;BPE5;Energy;Oil & Gas;Oil & Gas Integrated
BRAIN Biotech AG;XETR;BNN;Healthcare;Biotechnology;Biotechnology
Brenntag SE;XETR;BNR;Basic Materials;Chemicals;Specialty Chemicals
Brighthouse Financial Inc;XETR;BROC;Financial Services;Insurance;Insurance - Life
British American Tobacco PLC;XETR;BMT;Consumer Defensive;Tobacco Products;Tobacco
Broadcom Inc;XETR;1YD;Technology;Semiconductors;Semiconductors
Brockhaus Capital Mgmt AG;XETR;BKHT;Financial Services;Asset Management;Asset Management
C3.ai Inc;XETR;724;Technology;Software;Software - Application
CANCOM SE;XETR;COK;Technology;Software;Information Technology Services
CANNOVUM AG;XETR;27N;Healthcare;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
Cantourage Group SE;XETR;HIGH;Healthcare;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
Capital One Financial Corp;XETR;CFX;Financial Services;Credit Services;Credit Services
Capsensixx AG;XETR;CPX;Financial Services;Asset Management;Asset Management
Carl Zeiss Meditec AG;XETR;AFX;Healthcare;Medical Devices & Instruments;Medical Instruments & Supplies
Carnival PLC;XETR;POH1;Consumer Cyclical;Travel & Leisure;Leisure
Caterpillar Inc;XETR;CAT1;Industrials;Farm & Heavy Construction Machinery;Farm & Heavy Construction Machinery
Ceconomy AG;XETR;CEC;Consumer Cyclical;Retail - Cyclical;Specialty Retail
Cenit AG;XETR;CSH;Technology;Software;Software - Application
CeoTronics AG;XETR;CEK;Technology;Hardware;Communication Equipment
Cerence Inc;XETR;0S6;Technology;Software;Software - Application
CEWE Stiftung & Co KGaA;XETR;CWC;Consumer Cyclical;Personal Services;Personal Services
Charles Schwab Corp;XETR;SWG;Financial Services;Capital Markets;Capital Markets
Charter Communications Inc;XETR;CQD;Communication Services;Telecommunication Services;Telecom Services
Chegg Inc;XETR;0CG;Consumer Defensive;Education;Education & Training Services
Cherry SE;XETR;C3RY;Technology;Hardware;Computer Hardware
Chevron Corp;XETR;CHV;Energy;Oil & Gas;Oil & Gas Integrated
Ciena Corp;XETR;CIE1;Technology;Hardware;Communication Equipment
Cisco Systems Inc;XETR;CIS;Technology;Hardware;Communication Equipment
Citigroup Inc;XETR;TRVC;Financial Services;Banks;Banks - Diversified
Citrix Systems Inc;XETR;CTX;Technology;Software;Software - Application
Clean Logistics SE;XETR;SD1;Consumer Cyclical;Vehicles & Parts;Auto Parts
Clearvise AG;XETR;ABO;Utilities;Utilities - Independent Power Producers;Utilities - Renewable
Cleveland-Cliffs Inc;XETR;CVA;Basic Materials;Steel;Steel
Cliq Digital AG;XETR;CLIQ;Communication Services;Media - Diversified;Entertainment
CME Group Inc;XETR;MX4A;Financial Services;Capital Markets;Financial Data & Stock Exchanges
Coca-Cola Co;XETR;CCC3;Consumer Defensive;Beverages - Non-Alcoholic;Beverages - Non-Alcoholic
Coeur Mining Inc;XETR;CDM1;Basic Materials;Metals & Mining;Gold
Cogia AG;XETR;8HC;Communication Services;Interactive Media;Internet Content & Information
Coinbase Global Inc;XETR;1QZ;Financial Services;Capital Markets;Financial Data & Stock Exchanges
Colgate-Palmolive Co;XETR;CPA;Consumer Defensive;Consumer Packaged Goods;Household & Personal Products
comdirect bank AG;XETR;COM;Financial Services;Banks;Banks - Regional
Commercial Metals Co;XETR;CMS;Basic Materials;Steel;Steel
Commerzbank AG;XETR;CBK;Financial Services;Banks;Banks - Regional
Compass Group PLC;XETR;XGR2;Consumer Cyclical;Restaurants;Restaurants
Compleo Charging Solutions AG;XETR;C0M;Consumer Cyclical;Vehicles & Parts;Auto Parts
CompuGroup Medical SE & Co KgaA;XETR;COP;Healthcare;Healthcare Providers & Services;Health Information Services
ConocoPhillips;XETR;YCP;Energy;Oil & Gas;Oil & Gas E&P
Continental AG;XETR;CON;Consumer Cyclical;Vehicles & Parts;Auto Parts
Corestate Capital Holding SA;XETR;CCAP;Real Estate;Real Estate;Real Estate Services
Corteva Inc;XETR;2X0;Basic Materials;Agriculture;Agricultural Inputs
Coterra Energy Inc;XETR;XCQ;Energy;Oil & Gas;Oil & Gas E&P
Covestro AG;XETR;1COV;Basic Materials;Chemicals;Specialty Chemicals
CPI Property Group SA;XETR;O5G;Real Estate;Real Estate;Real Estate Services
CR Capital Real Estate AG;XETR;CRZK;Real Estate;Real Estate;Real Estate - Diversified
CropEnergies AG;XETR;CE2;Basic Materials;Chemicals;Specialty Chemicals
Cryptology Asset Group PLC;XETR;SRAG;Financial Services;Capital Markets;Capital Markets
CSX Corp;XETR;CXR;Industrials;Transportation;Railroads
CTS Eventim AG & Co. KGaA;XETR;EVD;Communication Services;Media - Diversified;Entertainment
Cummins Inc;XETR;CUM;Industrials;Industrial Products;Specialty Industrial Machinery
curasan AG;XETR;CURK;Healthcare;Biotechnology;Biotechnology
CureVac NV;XETR;5CV;Healthcare;Biotechnology;Biotechnology
CVS Health Corp;XETR;CVS;Healthcare;Healthcare Plans;Healthcare Plans
Cyan AG;XETR;CYR;Technology;Software;Software - Infrastructure
Daimler Truck Holding AG;XETR;DTG;Industrials;Farm & Heavy Construction Machinery;Farm & Heavy Construction Machinery
Daldrup & Sohne AG;XETR;4DS;Energy;Oil & Gas;Oil & Gas Drilling
Danaher Corp;XETR;DAP;Healthcare;Medical Diagnostics & Research;Diagnostics & Research
Data Modul AG;XETR;DAM;Technology;Hardware;Electronic Components
Datadog Inc;XETR;3QD;Technology;Software;Software - Application
Datagroup SE;XETR;D6H;Technology;Software;Information Technology Services
Datron AG;XETR;DAR;Industrials;Industrial Products;Specialty Industrial Machinery
DEAG Deutsche Entertainment AG;XETR;ERMK;Communication Services;Media - Diversified;Entertainment
Deere & Co;XETR;DCO;Industrials;Farm & Heavy Construction Machinery;Farm & Heavy Construction Machinery
Delignit AG;XETR;DLX;Basic Materials;Forest Products;Lumber & Wood Production
Delivery Hero SE;XETR;DHER;Consumer Cyclical;Retail - Cyclical;Internet Retail
Dell Technologies Inc;XETR;12DA;Technology;Hardware;Computer Hardware
Delticom AG;XETR;DEX;Consumer Cyclical;Vehicles & Parts;Auto Parts
Dermapharm Holding SE;XETR;DMP;Healthcare;Drug Manufacturers;Drug Manufacturers - Specialty & Generic
Deutsche Bank AG;XETR;DBK;Financial Services;Banks;Banks - Regional
Deutsche Beteiligungs AG;XETR;DBAN;Financial Services;Asset Management;Asset Management
Deutsche Biotech Innovativ AG;XETR;DBI;Healthcare;Biotechnology;Biotechnology
Deutsche Boerse AG;XETR;DB1;Financial Services;Capital Markets;Financial Data & Stock Exchanges
Deutsche EuroShop AG;XETR;DEQ;Real Estate;Real Estate;Real Estate Services
Deutsche Fachmarkt AG;XETR;DEF;Real Estate;Real Estate;Real Estate Services
Deutsche Grundstuecksauktionen AG;XETR;DGR;Real Estate;Real Estate;Real Estate Services
Deutsche Industrie REIT-AG;XETR;JB7;Real Estate;REITs;REIT - Industrial
Deutsche Konsum REIT-AG;XETR;DKG;Real Estate;REITs;REIT - Retail
Deutsche Lufthansa AG;XETR;LHA;Industrials;Transportation;Airlines
Deutsche Pfandbriefbank AG;XETR;PBB;Financial Services;Banks;Mortgage Finance
Deutsche Post AG;XETR;DPW;Industrials;Transportation;Integrated Freight & Logistics
Deutsche Rohstoff AG;XETR;DR0;Energy;Oil & Gas;Oil & Gas E&P
Deutsche Telekom AG;XETR;DTE;Communication Services;Telecommunication Services;Telecom Services
Deutsche Wohnen SE;XETR;DWNI;Real Estate;Real Estate;Real Estate - Development
Deutz AG;XETR;DEZ;Industrials;Industrial Products;Specialty Industrial Machinery
Devon Energy Corp;XETR;DY6;Energy;Oil & Gas;Oil & Gas E&P
DexCom Inc;XETR;DC4;Healthcare;Medical Devices & Instruments;Medical Devices
DFV Deutsche Familienversicherung AG;XETR;DFV;Financial Services;Insurance;Insurance - Diversified
Diageo PLC;XETR;GUI;Consumer Defensive;Beverages - Alcoholic;Beverages - Wineries & Distilleries
DIC Asset AG;XETR;DIC;Real Estate;Real Estate;Real Estate - Diversified
Dick's Sporting Goods Inc;XETR;DSG;Consumer Cyclical;Retail - Cyclical;Specialty Retail
Dierig Holding AG;XETR;DIE;Consumer Cyclical;Manufacturing - Apparel & Accessories;Textile Manufacturing
Discover Financial Services;XETR;DC7;Financial Services;Credit Services;Credit Services
DMG Mori Aktiengesellschaft;XETR;GIL;Industrials;Industrial Products;Tools & Accessories
DocCheck AG;XETR;AJ91;Healthcare;Healthcare Providers & Services;Health Information Services
Dollar General Corp;XETR;7DG;Consumer Defensive;Retail - Defensive;Discount Stores
Dollar Tree Inc;XETR;DT3;Consumer Defensive;Retail - Defensive;Discount Stores
Dominion Energy Inc;XETR;DOD;Utilities;Utilities - Regulated;Utilities - Regulated Electric
Dow Inc;XETR;2OY;Basic Materials;Chemicals;Chemicals
Dr Hoenle AG;XETR;HNL;Industrials;Industrial Products;Electrical Equipment & Parts
Draegerwerk AG & Co KGaA;XETR;DRW3;Healthcare;Medical Devices & Instruments;Medical Devices
DT.Eigenheim Union INH ON;XETR;JZ6;Consumer Cyclical;Homebuilding & Construction;Residential Construction
Duerr AG;XETR;DUE;Industrials;Industrial Products;Specialty Industrial Machinery
DuPont de Nemours Inc;XETR;6D8;Basic Materials;Chemicals;Specialty Chemicals
DVS Technology AG;XETR;DIS;Industrials;Industrial Products;Specialty Industrial Machinery
DWS Group GmbH & Co KGaA;XETR;DWS;Financial Services;Asset Management;Asset Management
E.ON SE;XETR;EOAN;Utilities;Utilities - Regulated;Utilities - Diversified
easyJet PLC;XETR;EJT1;Industrials;Transportation;Airlines
Eaton Vance Corp;XETR;EVCN;Financial Services;Asset Management;Asset Management
eBay Inc;XETR;EBA;Consumer Cyclical;Retail - Cyclical;Internet Retail
Eckert & Ziegler Strahlen- und Medizintechnik AG;XETR;EUZ;Healthcare;Medical Devices & Instruments;Medical Devices
ecotel communication ag;XETR;E4C;Communication Services;Telecommunication Services;Telecom Services
EDAG Engineering Group AG;XETR;ED4;Consumer Cyclical;Vehicles & Parts;Auto Parts
Edel SE & Co KGaA;XETR;EDL;Communication Services;Media - Diversified;Entertainment
Edwards Lifesciences Corp;XETR;EWL;Healthcare;Medical Devices & Instruments;Medical Devices
Einhell Germany AG;XETR;EIN3;Industrials;Industrial Products;Tools & Accessories
Ekotechnika AG;XETR;ETE;Industrials;Farm & Heavy Construction Machinery;Farm & Heavy Construction Machinery
elexxion AG;XETR;E8X;Healthcare;Medical Devices & Instruments;Medical Devices
Eli Lilly and Co;XETR;LLY;Healthcare;Drug Manufacturers;Drug Manufacturers - General
Elmos Semiconductor SE;XETR;ELG;Technology;Semiconductors;Semiconductors
ElringKlinger AG;XETR;ZIL2;Consumer Cyclical;Vehicles & Parts;Auto Parts
elumeo SE;XETR;ELB;Consumer Cyclical;Retail - Cyclical;Luxury Goods
Emerson Electric Co;XETR;EMR;Industrials;Industrial Products;Specialty Industrial Machinery
Enapter AG;XETR;H2O;Industrials;Industrial Products;Specialty Industrial Machinery
EnBW Energie Baden-Wuerttemberg AG;XETR;EBK;Utilities;Utilities - Regulated;Utilities - Diversified
Encavis AG;XETR;ECV;Utilities;Utilities - Independent Power Producers;Utilities - Renewable
Energiekontor AG;XETR;EKT;Utilities;Utilities - Independent Power Producers;Utilities - Renewable
Enphase Energy Inc;XETR;E0P;Technology;Semiconductors;Solar
EnviTec Biogas AG;XETR;ETG;Utilities;Utilities - Independent Power Producers;Utilities - Renewable
Epigenomics AG;XETR;ECX1;Healthcare;Medical Diagnostics & Research;Diagnostics & Research
EQS Group AG;XETR;EQS;Technology;Software;Software - Infrastructure
Equitable Holdings Inc;XETR;AXJ;Financial Services;Insurance;Insurance - Diversified
Ergomed PLC;XETR;2EM;Healthcare;Biotechnology;Biotechnology
Erlebnis Akademie AG;XETR;EAD;Consumer Cyclical;Travel & Leisure;Leisure
Ernst Russ AG;XETR;HXCK;Industrials;Transportation;Marine Shipping
