c;market;v;cat;subcat
Fasadgruppen Group AB;XSTO;FG;Industrials;Construction
Fastighets AB Balder;XSTO;BALD B;Real Estate;Real Estate
Fastighets AB Trianon;XSTO;TRIAN B;Real Estate;Real Estate
Fastighetsbolaget Emilshus AB;XSTO;EMIL B;Real Estate;Real Estate
FastPartner AB;XSTO;FPAR A;Real Estate;Real Estate
Fenix Outdoor International Ltd;XSTO;FOI B;Consumer Cyclical;Retail - Cyclical
Ferroamp AB;XSTO;FERRO;Industrials;Industrial Products
Ferronordic AB;XSTO;FNM;Industrials;Industrial Distribution
Filo Mining Corp;XSTO;FIL;Basic Materials;Metals & Mining
Fingerprint Cards AB;XSTO;FING B;Technology;Hardware
Firefly AB;XSTO;FIRE;Industrials;Business Services
First Venture Sweden AB;XSTO;FIRST B;Financial Services;Asset Management
Flat Capital AB;XSTO;FLAT B;Financial Services;Asset Management
Flexion Mobile PLC;XSTO;FLEXM;Communication Services;Interactive Media
FlexQube AB;XSTO;FLEXQ;Industrials;Industrial Products
Flowscape Technology AB;XSTO;FLOWS;Technology;Software
Fluicell AB;XSTO;FLUI;Healthcare;Biotechnology
FluoGuide A/S;XSTO;FLUO;Healthcare;Medical Devices & Instruments
FM Mattsson Mora Group AB;XSTO;FMM B;Industrials;Construction
Footway Group AB;XSTO;FOOT PREF;Consumer Cyclical;Retail - Cyclical
Formpipe Software AB;XSTO;FPIP;Technology;Software
Fortinova Fastigheter AB;XSTO;FNOVA B;Real Estate;Real Estate
Fortnox AB;XSTO;FNOX;Technology;Software
Fractal Gaming Group AB;XSTO;FRACTL;Technology;Hardware
Fragbite Group AB;XSTO;FRAG;Communication Services;Interactive Media
Fram Skandinavien AB;XSTO;FRAM B;Technology;Software
Freemelt Holding AB;XSTO;FREEM;Technology;Hardware
Freja eID Group AB;XSTO;FREJA;Technology;Software
FRISQ Holding AB;XSTO;FRISQ;Healthcare;Healthcare Providers & Services
FSport AB;XSTO;FSPORT;Communication Services;Interactive Media
FUUD AB;XSTO;FUUD;Consumer Defensive;Consumer Packaged Goods
G5 Entertainment AB;XSTO;G5EN;Communication Services;Interactive Media
Gabather AB;XSTO;GABA;Healthcare;Drug Manufacturers
Gaming Corps AB;XSTO;GCOR;Communication Services;Interactive Media
Gapwaves AB;XSTO;GAPW B;Technology;Hardware
GARO AB;XSTO;GARO;Industrials;Industrial Products
Gasporox AB;XSTO;GPX;Technology;Hardware
Generic Sweden AB;XSTO;GENI;Technology;Software
Genova Property Group AB;XSTO;GPG;Real Estate;Real Estate
Genovis AB;XSTO;GENO;Healthcare;Biotechnology
Getinge AB;XSTO;GETI B;Healthcare;Medical Devices & Instruments
Global Gaming 555 AB;XSTO;GLOBAL;Communication Services;Interactive Media
Godsinlosen Nordic AB;XSTO;GIAB;Technology;Software
GomSpace Group AB;XSTO;GOMX;Industrials;Aerospace & Defense
Goobit Group AB;XSTO;BTCX;Financial Services;Capital Markets
Goodbye Kansas Group AB;XSTO;GBK;Communication Services;Media - Diversified
Gotenehus Group AB;XSTO;GHUS B;Consumer Cyclical;Homebuilding & Construction
Granges AB;XSTO;GRNG;Basic Materials;Metals & Mining
Greater Than AB;XSTO;GREAT;Technology;Software
Green Landscaping Group AB;XSTO;GREEN;Industrials;Business Services
Guard Therapeutics International AB;XSTO;GUARD;Healthcare;Biotechnology
Guideline Geo AB;XSTO;GGEO;Industrials;Industrial Products
Gunnebo AB;XSTO;GUNN;Industrials;Business Services
Haldex AB;XSTO;HLDX;Consumer Cyclical;Vehicles & Parts
Handicare Group AB;XSTO;HANDI;Healthcare;Medical Devices & Instruments
Hansa Biopharma AB;XSTO;HNSA;Healthcare;Biotechnology
Hanza AB;XSTO;HANZA;Technology;Hardware
Havsfrun Investment AB;XSTO;HAV B;Financial Services;Capital Markets
Haypp Group AB;XSTO;HAYPP;Consumer Defensive;Tobacco Products
Heba Fastighets AB;XSTO;HEBA B;Real Estate;Real Estate
Hedera Group AB;XSTO;HEGR;Industrials;Business Services
Heliospectra AB;XSTO;HELIO;Industrials;Industrial Products
Hemcheck Sweden AB;XSTO;HEMC;Healthcare;Medical Devices & Instruments
Hemfosa Fastigheter AB;XSTO;HEMF PREF.PFD;Real Estate;Real Estate
Hemnet Group AB;XSTO;HEM;Communication Services;Interactive Media
Hennes & Mauritz AB;XSTO;HM B;Consumer Cyclical;Manufacturing - Apparel & Accessories
Hexagon AB;XSTO;HEXA B;Technology;Hardware
Hexatronic Group AB;XSTO;HTRO;Technology;Hardware
Hexicon AB;XSTO;HEXI;Industrials;Construction
Hexpol AB;XSTO;HPOL B;Basic Materials;Chemicals
Hifab Group AB;XSTO;HIFA B;Industrials;Construction
High Coast Distillery AB;XSTO;HIGHCO B;Consumer Defensive;Beverages - Alcoholic
Hilbert Group AB;XSTO;HILB B;Financial Services;Asset Management
Himalaya Shipping Ltd;XSTO;HSHIPO;Industrials;Transportation
HiQ International AB;XSTO;HIQ;Technology;Software
Hitech & Development Wireless Sweden Holding AB;XSTO;HDW B;Technology;Hardware
HMS Networks AB;XSTO;HMS;Technology;Hardware
Hoist Finance AB;XSTO;HOFI;Financial Services;Banks
Holmen AB;XSTO;HOLM A;Basic Materials;Forest Products
Hoylu AB;XSTO;HOYLU;Technology;Software
Hufvudstaden AB;XSTO;HUFV A;Real Estate;Real Estate
Humana AB;XSTO;HUM;Healthcare;Healthcare Providers & Services
Humble Group AB;XSTO;HUMBLE;Consumer Defensive;Consumer Packaged Goods
Husqvarna AB;XSTO;HUSQ A;Industrials;Industrial Products
I-Tech AB;XSTO;ITECH;Healthcare;Biotechnology
IAR Systems Group AB;XSTO;IAR B;Technology;Software
Iconovo AB;XSTO;ICO;Healthcare;Medical Devices & Instruments
Idogen AB;XSTO;IDOGEN;Healthcare;Biotechnology
Idun Industrier AB;XSTO;IDUN B;Financial Services;Asset Management
Image Systems AB;XSTO;IS;Technology;Hardware
Immunovia AB;XSTO;IMMNOV;Healthcare;Medical Diagnostics & Research
Impact Coatings AB;XSTO;IMPC;Industrials;Industrial Products
Implantica AG;XSTO;IMP A SDB;Healthcare;Medical Devices & Instruments
InCoax Networks AB;XSTO;INCOAX;Technology;Hardware
InDex Pharmaceuticals Holding AB;XSTO;INDEX;Healthcare;Biotechnology
Industrivarden AB;XSTO;INDU A;Financial Services;Asset Management
Indutrade AB;XSTO;INDT;Industrials;Industrial Distribution
Infant Bacterial Therapeutics AB;XSTO;IBT B;Healthcare;Biotechnology
Infrea AB;XSTO;INFREA;Financial Services;Asset Management
Inission AB;XSTO;INISS B;Industrials;Industrial Distribution
Initiator Pharma A/S;XSTO;INIT;Healthcare;Biotechnology
Insplorion AB;XSTO;INSP;Technology;Hardware
Instalco AB;XSTO;INSTAL;Industrials;Construction
Integrum AB;XSTO;INTEG B;Healthcare;Medical Devices & Instruments
Intellego Technologies AB;XSTO;INT;Industrials;Industrial Products
International Petroleum Corp;XSTO;IPCO;Energy;Oil & Gas
Internationella Engelska Skolan i Sverige Holdings;XSTO;ENG;Consumer Defensive;Education
Intervacc AB;XSTO;IVACC;Healthcare;Biotechnology
Intrum AB;XSTO;INTRUM;Financial Services;Credit Services
Investment AB Latour;XSTO;LATO B;Financial Services;Asset Management
Investment AB Oresund;XSTO;ORES;Financial Services;Asset Management
Investor AB;XSTO;INVE A;Financial Services;Asset Management
Invisio AB;XSTO;IVSO;Technology;Hardware
Inwido AB;XSTO;INWI;Industrials;Construction
Inzile AB;XSTO;INZILE;Consumer Cyclical;Vehicles & Parts
Irisity AB;XSTO;IRIS;Industrials;Business Services
IRLAB Therapeutics AB;XSTO;IRLAB A;Healthcare;Biotechnology
IRRAS AB;XSTO;IRRAS;Healthcare;Medical Devices & Instruments
Isofol Medical AB;XSTO;ISOFOL;Healthcare;Biotechnology
ISR Immune System Regulation Holding AB;XSTO;ISR;Healthcare;Biotechnology
ITAB Shop Concept AB;XSTO;ITAB;Industrials;Industrial Products
Ivisys AB;XSTO;IVISYS;Industrials;Industrial Products
iZafe Group AB;XSTO;IZAFE B;Healthcare;Medical Devices & Instruments
J M AB;XSTO;JM;Consumer Cyclical;Homebuilding & Construction
Jetpak Top Holding AB (publ);XSTO;JETPAK;Industrials;Transportation
JLT Mobile Computers AB;XSTO;JLT;Technology;Hardware
Job Solution Sweden Holding AB;XSTO;JOBS;Industrials;Business Services
John Mattson Fastighetsforetagen AB;XSTO;JOMA;Real Estate;Real Estate
JonDeTech Sensors AB;XSTO;JDT;Technology;Hardware
K-Fast Holding AB;XSTO;KFAST B;Real Estate;Real Estate
K2A Knaust & Andersson Fastigheter;XSTO;K2A B;Real Estate;Real Estate
KABE Group AB;XSTO;KABE B;Consumer Cyclical;Vehicles & Parts
Kakel Max AB;XSTO;KAKEL;Basic Materials;Building Materials
Kalleback Property Invest AB;XSTO;KAPIAB;Real Estate;Real Estate
Kambi Group PLC;XSTO;KAMBI;Consumer Cyclical;Travel & Leisure
Kancera AB;XSTO;KAN;Healthcare;Biotechnology
Karnov Group AB;XSTO;KAR;Industrials;Business Services
Karo Pharma AB;XSTO;KARO;Healthcare;Drug Manufacturers
Karolinska Development AB;XSTO;KDEV;Healthcare;Biotechnology
KebNi AB;XSTO;KEBNI B;Technology;Hardware
Kentima Holding AB;XSTO;KENH;Technology;Software
Kiliaro AB;XSTO;KILI;Technology;Software
Kindred Group PLC;XSTO;KIND SDB;Consumer Cyclical;Travel & Leisure
Kinnevik AB;XSTO;KINV A;Financial Services;Asset Management
Kjell Group AB;XSTO;KJELL;Technology;Hardware
KlaraBo Sverige AB;XSTO;KLARA B;Real Estate;Real Estate
Klaria Pharma Holding AB;XSTO;KLAR;Healthcare;Drug Manufacturers
Klimator AB;XSTO;KLIMAT;Technology;Software
Knowit AB;XSTO;KNOW;Technology;Software
Kollect on Demand Holding AB;XSTO;KOLL;Industrials;Waste Management
Kontigo Care AB;XSTO;KONT;Healthcare;Healthcare Providers & Services
Kopy Goldfields AB;XSTO;KOPY;Basic Materials;Metals & Mining
L E Lundbergforetagen AB;XSTO;LUND B;Financial Services;Asset Management
Lagercrantz Group AB;XSTO;LAGR B;Technology;Hardware
Lammhults Design Group AB;XSTO;LAMM B;Consumer Cyclical;Furnishings, Fixtures & Appliances
Lauritz.com Group A/S;XSTO;LAUR;Consumer Cyclical;Retail - Cyclical
Leading Edge Materials Corp;XSTO;LEMSE;Basic Materials;Metals & Mining
Learning 2 Sleep L2S AB;XSTO;L2S;Healthcare;Healthcare Providers & Services
Lexington Company AB;XSTO;LEX;Consumer Cyclical;Manufacturing - Apparel & Accessories
Lidds AB;XSTO;LIDDS;Healthcare;Biotechnology
Lifco AB;XSTO;LIFCO B;Industrials;Conglomerates
Lifeclean International AB;XSTO;LCLEAN;Consumer Defensive;Consumer Packaged Goods
Lime Technologies AB;XSTO;LIME;Technology;Software
Linc AB;XSTO;LINC;Financial Services;Asset Management
Lindab International AB;XSTO;LIAB;Industrials;Construction
Link Prop Investment AB;XSTO;LINKAB;Real Estate;Real Estate
Linkfire A/S;XSTO;LINKFI;Communication Services;Media - Diversified
Lipidor AB;XSTO;LIPI;Healthcare;Drug Manufacturers
Lipigon Pharmaceuticals AB;XSTO;LPGO;Healthcare;Biotechnology
Lipum AB;XSTO;LIPUM;Healthcare;Biotechnology
Litium AB;XSTO;LITI;Technology;Software
Liv ihop AB;XSTO;LIVI;Industrials;Business Services
LL Lucky Games AB;XSTO;LADYLU;Communication Services;Interactive Media
LMK Group AB;XSTO;LMKG;Consumer Defensive;Retail - Defensive
Logistea AB;XSTO;LOGI A;Real Estate;Real Estate
Lohilo Foods AB;XSTO;LOHILO;Consumer Defensive;Consumer Packaged Goods
Loomis AB;XSTO;LOOMIS;Industrials;Business Services
Loyal Solutions A/S;XSTO;LOYAL;Technology;Software
Lucara Diamond Corp;XSTO;LUC;Basic Materials;Metals & Mining
LumenRadio AB;XSTO;LUMEN;Technology;Hardware
Lundin Gold Inc;XSTO;LUG;Basic Materials;Metals & Mining
Lundin Mining Corp;XSTO;LUMI;Basic Materials;Metals & Mining
Luxbright AB;XSTO;LXB;Healthcare;Medical Devices & Instruments
Lyckegard Group AB;XSTO;LYGRD;Industrials;Farm & Heavy Construction Machinery
Lyko Group AB;XSTO;LYKO A;Consumer Defensive;Consumer Packaged Goods
Mackmyra Svensk Whisky AB;XSTO;MACK B;Consumer Defensive;Beverages - Alcoholic
MAG Interactive AB;XSTO;MAGI;Communication Services;Interactive Media
Magle Chemoswed Holding AB;XSTO;MAGLE;Healthcare;Biotechnology
Magnolia Bostad AB;XSTO;MAG;Real Estate;Real Estate
Maha Energy AB;XSTO;MAHA A;Energy;Oil & Gas
Malmbergs Elektriska AB;XSTO;MEAB B;Technology;Hardware
Mangold AB;XSTO;MANG;Financial Services;Capital Markets
Mantex AB;XSTO;MANTEX;Industrials;Industrial Products
Maven Wireless Sweden AB;XSTO;MAVEN;Technology;Hardware
Mavshack AB;XSTO;MAV;Communication Services;Media - Diversified
MedCap AB;XSTO;MCAP;Financial Services;Asset Management
Medhelp Care AB;XSTO;MEDHLP;Healthcare;Healthcare Providers & Services
Medicover AB;XSTO;MCOV B;Healthcare;Healthcare Providers & Services
Medivir AB;XSTO;MVIR B;Healthcare;Biotechnology
MEKO AB;XSTO;MEKO;Industrials;Industrial Distribution
Mendus AB;XSTO;IMMU;Healthcare;Biotechnology
Mentice AB;XSTO;MNTC;Healthcare;Medical Devices & Instruments
Mestro AB;XSTO;MESTRO;Technology;Software
Metacon AB;XSTO;META;Industrials;Industrial Products
Micro Systemation AB;XSTO;MSAB B;Technology;Software
Midsona AB;XSTO;MSON A;Consumer Defensive;Consumer Packaged Goods
Midsummer AB;XSTO;MIDS;Technology;Semiconductors
Midway Holding AB;XSTO;MIDW A;Industrials;Industrial Products
Mildef Group AB;XSTO;MILDEF;Industrials;Aerospace & Defense
Millicom International Cellular SA;XSTO;TIGO SDB;Communication Services;Telecommunication Services
Minesto AB;XSTO;MINEST;Utilities;Utilities - Independent Power Producers
Mips AB;XSTO;MIPS;Consumer Cyclical;Travel & Leisure
Misen Energy AB;XSTO;MISE;Energy;Oil & Gas
MOBA Network AB;XSTO;MOBA;Technology;Software
Moberg Pharma AB;XSTO;MOB;Healthcare;Drug Manufacturers
Modelon AB;XSTO;MODEL B;Technology;Software
Modern Ekonomi Sverige Holding AB;XSTO;ME;Industrials;Business Services
Modern Times Group MTG AB;XSTO;MTG A;Communication Services;Interactive Media
Modus Therapeutics Holding AB;XSTO;MODTX;Healthcare;Biotechnology
Moment Group AB;XSTO;MOMENT;Communication Services;Media - Diversified
Momentum Group AB;XSTO;MMGR B;Industrials;Industrial Distribution
Move About Group AB;XSTO;MOV;Technology;Software
MTI Investment SE;XSTO;MTI;Financial Services;Asset Management
Munters Group AB;XSTO;MTRS;Industrials;Industrial Products
Mycronic AB;XSTO;MYCR;Industrials;Industrial Products
myFC Holding AB;XSTO;MYFC;Industrials;Industrial Products
Nanexa AB;XSTO;NANEXA;Healthcare;Drug Manufacturers
Nanologica AB;XSTO;NICA;Healthcare;Biotechnology
NAXS AB;XSTO;NAXS;Financial Services;Asset Management
NCAB Group AB;XSTO;NCAB;Technology;Hardware
NCC AB;XSTO;NCC A;Industrials;Construction
Nederman Holding AB;XSTO;NMAN;Industrials;Industrial Products
Nelly Group AB;XSTO;NELLY;Consumer Cyclical;Retail - Cyclical
Neobo Fastigheter AB;XSTO;NEOBO;Real Estate;Real Estate
NeoDynamics AB;XSTO;NEOD;Healthcare;Medical Devices & Instruments
Neola Medical AB;XSTO;NEOLA;Healthcare;Medical Devices & Instruments
Nepa AB;XSTO;NEPA;Industrials;Business Services
Net Insight AB;XSTO;NETI B;Technology;Hardware
Netel Holding AB;XSTO;NETEL;Communication Services;Telecommunication Services
NetEnt AB;XSTO;NET IL B.PFD;Communication Services;Interactive Media
NetJobs Group AB;XSTO;NJOB;Industrials;Business Services
Netmore Group AB;XSTO;NETM B;Communication Services;Telecommunication Services
New Bubbleroom Sweden AB;XSTO;BBROOM;Consumer Cyclical;Retail - Cyclical
New Nordic Healthbrands AB;XSTO;NNH;Consumer Defensive;Consumer Packaged Goods
New Wave Group AB;XSTO;NEWA B;Consumer Cyclical;Retail - Cyclical
Newbury Pharmaceuticals AB;XSTO;NEWBRY;Healthcare;Drug Manufacturers
Newton Nordic AB;XSTO;NEWTON;Technology;Hardware
Nexam Chemical Holding AB;XSTO;NEXAM;Basic Materials;Chemicals
NextCell Pharma AB;XSTO;NXTCL;Healthcare;Biotechnology
Ngenic AB;XSTO;NGENIC;Technology;Hardware
NGS Group AB;XSTO;NGS;Industrials;Business Services
NIBE Industrier AB;XSTO;NIBE B;Industrials;Construction
Nicoccino Holding AB;XSTO;NICO;Consumer Defensive;Tobacco Products
Nilar International AB;XSTO;NILAR;Technology;Hardware
Nilorngruppen AB;XSTO;NIL B;Consumer Cyclical;Manufacturing - Apparel & Accessories
Nilsson Special Vehicles AB;XSTO;NILS;Consumer Cyclical;Vehicles & Parts
Nimbus Group AB;XSTO;BOAT;Consumer Cyclical;Vehicles & Parts
Nitro Games PLC;XSTO;NITRO;Communication Services;Interactive Media
Nivika Fastigheter AB;XSTO;NIVI B;Real Estate;Real Estate
Nobia AB;XSTO;NOBI;Consumer Cyclical;Furnishings, Fixtures & Appliances
Nobina AB;XSTO;NOBINA;Industrials;Transportation
Nolato AB;XSTO;NOLA B;Industrials;Conglomerates
Nord Insuretech Group AB;XSTO;NORDIG;Technology;Software
Nordea Bank Abp;XSTO;NDA SE;Financial Services;Banks
Nordic Asia Investment Group 1987 AB;XSTO;NAIG B;Financial Services;Asset Management
Nordic Flanges Group AB;XSTO;NFGAB;Industrials;Industrial Products
Nordic Iron Ore AB;XSTO;NIO;Basic Materials;Metals & Mining
Nordic LEVEL Group AB;XSTO;LEVEL;Industrials;Business Services
Nordic Paper Holding AB;XSTO;NPAPER;Basic Materials;Forest Products
Nordic Waterproofing Holding AB;XSTO;NWG;Industrials;Construction
Nordisk Bergteknik AB;XSTO;NORB B;Industrials;Construction
Norditek Group AB;XSTO;NOTEK;Industrials;Waste Management
Nordnet AB;XSTO;SAVE;Financial Services;Capital Markets
Northbaze Group AB;XSTO;NBZ;Technology;Hardware
